Join_Count,TARGET_FID,ZONING,GPIN_ini,MZONE_ini,MLUSE_ini,MCLASS_ini,MTOTPR_ini,MTUTIL_ini,MBASA_ini,MTOTA_ini,MASSLU_ini,MAP_PIN_fnl,GPIN_fnl,Zoning_fnl,MZONE_fnl,MLUSE_fnl,MCLASS_fnl,MTOTPR_fnl,MTUTIL_fnl,MBASA_fnl,MTOTA_fnl,MASSLU_fnl,Area_acre,Change
2,4307,A-1,6773-61-2046,,2,C,270500,8000,1189,2321.3,0,28-31A,6773-61-2046,A-10,,2,C,315900,11000,1189,2321.3,0,5.85018,No
2,4332,A-1,6763-42-5239,,2,C,231400,8000,1124,2226,0,28-3C,6763-42-3355,A-10,,2,,83000,0,0,0,0,8.9721,No
2,4364,A-1,6772-24-8716,,2,C,235700,8000,1587,1587,0,28-46B,6772-24-8716,A-10,,2,C,291700,11000,1587,1587,0,6.20951,No
3,4378,A-1,6772-56-8660,,5,,175500,8000,0,0,15050,28-47A,6772-56-8660,A-10,,2,,132400,0,0,0,12200,20.4529,Yes
2,4419,A-1,6772-23-7252,,2,,65600,0,0,0,0,28-53,6772-23-6296,A-10,,2,C,172300,11000,1296,1296,0,5.53356,No
2,4425,A-1,6772-22-7262,,5,C,352800,8000,1195.5,1773,69025,28-55,6772-22-7262,A-10,,5,,248800,0,0,0,15500,44.0301,No
2,4437,A-1,6763-62-9515,,2,,108000,0,0,0,0,28-4A,6763-72-1602,A-10,,2,,83000,0,0,0,0,10.0223,No
2,4685,R-U,6772-04-8389,,2,C,187600,8000,1144,1144,0,28A3-1-2,6772-04-8389,R-U,,2,C,205900,11000,1144,1144,0,8.62951,No
2,4852,R-U,6772-00-8307,,2,C,129400,8000,1080,1080,0,28A4-1-E-2-3A,6772-00-8205,R-U,,2,C,140100,11000,1080,1080,0,3.14299,No
2,5306,A-1,6782-06-7124,,2,,245100,8000,0,0,0,29-10B,6782-06-9035,A-10,,2,,268700,11000,0,0,0,15.3742,No
3,5310,A-1,6782-04-6787,,6,B,796100,8000,1712,2661.2,99100,29-10F,6782-14-1707,A-10,,5,,482400,11000,0,0,0,104.405,Yes
2,5327,A-1,6772-92-4832,,5,B,543800,8000,2387,2387,0,29-15,6772-92-4832,A-10,,5,C,575100,11000,2387,2387,0,29.2801,No
2,5361,A-1,6782-56-6644,,2,B,464000,8000,1870,2661,62650,29-18F1,6782-56-6644,A-10,,2,B,1024600,11000,1870,2661,70650,10.7671,No
2,5370,A-1,6773-86-2234,,6,B,769200,8000,1689,2449,97650,29-2,6773-86-2234,A-10,,5,B,736500,11000,1689,2449,105100,103.364,Yes
2,5380,A-1,6782-28-8242,,2,,85000,0,0,0,0,29-22A,6782-28-8358,A-10,,2,,75500,0,0,0,0,5.32659,No
2,5431,A-1,6782-79-6593,,2,C,88900,8000,792,792,0,29-36A,6782-79-6366,A-10,,2,,2000,0,0,0,0,2.17938,No
2,5436,A-1,6782-69-0035,,2,C,388000,8000,600,1786,0,29-37B,6782-68-0920,A-10,,2,C,236000,11000,600,1811,0,4.15601,No
2,5461,A-1,6782-66-3489,,2,,78400,0,0,0,0,29-38E,6782-66-6508,A-10,,2,,63400,0,0,0,0,4.73402,No
3,5471,A-1,6782-63-1094,,5,C,453000,8000,1400,1400,81600,29-39,6782-62-3926,A-10,,2,C,198400,11000,1400,1400,67350,74.9237,Yes
3,5529,A-1,6773-81-1882,,5,,403300,0,0,0,0,29-5H-1,6773-71-6587,A-10,,5,B,779400,11000,1900,3230,157700,50.5107,No
2,5534,A-1,6773-70-2777,,5,A,2555300,8000,7419,11266.3,0,29-5E,6773-70-6927,A-10,,5,B,537900,11000,1524,2438.4,0,29.0997,No
2,5784,R-U,6782-01-4047,,2,,55000,0,0,0,0,29A-5-I-17,6782-01-3170,R-U,,79,,20000,0,0,0,0,0.533359,Yes
2,5863,R-U,6781-08-1150,,2,,25000,0,0,0,0,29A-7-P-23,6781-08-0262,R-U,,2,C,203600,11000,728,1568,0,2.67126,No
3,6211,A-1,6792-32-8122,,5,,170900,8000,0,0,0,30-17A,6792-42-1193,A-10,,2,B,401400,11000,1480.5,2368.8,0,22.3037,Yes
2,6229,A-1,6793-34-0767,,2,B,363200,8000,1902,2838,0,30-22,6793-24-8698,A-10,,2,C,380000,11000,1902,2838,0,8.3954,No
2,6242,A-1,6793-35-0713,,2,C,190900,8000,982,1604.6,0,30-24F,6793-25-7701,A-10,,2,C,208300,11000,982,1604.6,0,5.83162,No
12,6253,R-5,6793-71-7423,,5,,84900,0,0,0,10925,30-26,6793-70-1208,RR-5,,5,,52100,0,0,0,10925,80.3327,No
14,6258,R-5,6793-91-5479,,6,,1769600,0,0,0,0,30-27,6793-81-8330,RR-5,,6,,963400,0,0,0,0,167.83,No
2,6261,A-1,6792-99-0297,,5,B,553200,16000,2512,2512,22000,30-28A,6792-98-1707,A-10,,5,B,616100,11000,2160,2512,74750,32.1089,No
3,6262,A-1,6792-65-2321,,6,,1020000,0,0,0,114750,30-29,6792-65-2321,A-10,,6,,937700,0,0,0,105500,275.182,No
3,6265,A-1,6783-80-9840,,2,A,503600,8000,3115,4067,69300,30-2C,6783-90-5884,A-10,,2,B,507800,11000,3115,4067,111250,33.1159,No
2,6270,A-1,6782-89-3952,,2,,107000,0,0,0,0,29-36B,6782-89-3902,A-10,,5,,178600,0,0,0,0,11.935,Yes
2,6271,A-1,6783-80-7482,,2,C,422800,8000,1882,2486.8,70450,30-2A,6783-90-1370,A-10,,2,B,392500,11000,1041.3,2465.1,0,13.0559,No
3,6306,A-1,6782-82-6877,,2,,54100,0,0,0,0,30-4-3,6782-82-6659,A-10,,2,C,327800,11000,547,2348.8,0,3.57267,No
2,6568,A-1,7703-25-4849,,5,,215200,0,0,0,16150,31-1,7703-16-7075,A-10,,5,,358600,0,0,0,16150,61.7352,No
2,6601,R-R,7703-55-7175,,6,,758800,0,0,0,116700,31-2,7703-23-9749,A-10,,6,,784000,0,0,0,116700,309.101,No
17,6614,A-1,7712-09-1215,,6,,1870000,0,0,0,120225,31-25,7703-90-1572,RR-5,,5,,767900,0,0,0,0,276.271,Yes
2,6615,A-1,7702-63-6966,,6,,1200700,0,0,0,135100,31-25A,7702-77-4789,A-10,,2,,118500,0,0,0,4100,295.738,Yes
2,6623,R-R,7703-93-9270,,2,,152500,0,0,0,0,31-3-3,7703-93-9476,R-R,,2,,190000,0,0,0,0,14.5359,No
2,6634,R-5,7712-15-1412,,6,,1158000,0,0,0,0,31-36,7712-15-1412,A-10,,6,,865700,0,0,0,77900,192.5,No
3,6778,A-1,7712-37-1949,,2,D,67200,8000,965,965,0,32-15,7712-38-2264,A-10,,2,D,81200,11000,965,965,0,3.07053,No
2,6835,A-1,7712-57-7959,,2,C,86900,8000,920,920,0,32-34,7712-58-6071,A-10,,2,C,109200,11000,920,920,0,1.88878,No
2,6872,A-1,7712-45-9650,,2,C,307300,8000,1368,2250,0,32-4-15A,7712-45-9650,A-10,,2,C,359700,11000,1368,2250,0,15.9038,No
2,6878,A-1,7712-48-4829,,2,C,167200,8000,768,1228.8,0,32-4-1B,7712-48-5948,A-10,,2,C,168700,11000,768,768,0,2.76882,No
2,6881,A-1,7712-48-3382,,2,C,191800,8000,2223,2223,0,32-4-3,7712-48-3176,A-10,,2,C,215400,11000,2223,2223,0,5.17722,No
2,6906,R-R,7722-58-1920,,6,,836500,0,0,0,89050,32-1-3,7722-37-2173,R-R,,2,,135400,0,0,0,13900,224.628,Yes
2,6907,R-U,7722-36-5147,,2,,297100,0,0,0,0,32-B,7722-36-3099,VC-PD,,4,,330600,0,0,0,0,4.2476,Yes
12,6909,R-U,7722-26-4595,,4,,922000,0,0,0,0,32-C,7722-26-4511,VC-PD,,4,,1213200,0,0,0,0,25.0649,No
2,6916,A-1,7722-14-9182,,2,D,97300,8000,784,784,0,32-48,7722-14-8048,A-10,,2,D,140700,11000,844,844,0,1.60155,No
2,6935,R-U,7722-13-2934,,,,0,0,0,0,0,32-49,7722-14-3012,A-10,,2,E,139500,22000,688,1136,0,3.97183,Yes
2,6957,R-U,7712-80-8918,,79,,26200,0,0,0,0,32-57J,7712-80-8918,R-U,,79,,26000,0,0,0,0,5.51601,No
16,6960,R-U,7722-14-1737,,6,A,9434600,0,0,23129.2,0,32-50,7712-85-2591,R-U,,5,,255200,0,0,0,0,337.231,Yes
8,7311,R-U,7722-46-1113,,,,0,0,0,0,0,32D-1-3UNT1,7722-46-1129,VC-PD,,4,A,1145500,0,0,7527.4,0,7.84429,Yes
35,7326,R-5,5791-98-7137,,6,,1643500,0,0,0,0,34-13,5791-98-2269,RR-5,,6,,714000,0,0,0,0,360.436,No
2,7364,A-1,5791-68-9762,,5,C,449700,8000,1792,1792,102125,34-1-16A,5791-57-9832,A-10,,2,C,118500,11000,1012,1012,0,63.6482,Yes
2,7411,A-1,6701-51-4869,,5,C,630100,8000,1144,1924,80175,35-11,6701-25-0248,A-10,,5,,123900,0,0,0,29200,93.9563,No
2,7421,A-1,6700-66-6387,,2,,112000,0,0,0,0,35-16,6700-66-8203,A-10,,2,,94900,0,0,0,0,10.419,No
3,7422,A-1,6700-69-0915,,5,,253600,0,0,0,20300,35-17,6700-69-0915,A-10,,5,B,524700,11000,1428,2072,68400,39.1203,No
2,7460,A-1,6700-77-0457,,5,,188300,0,0,0,32800,35-24,6700-77-0457,A-10,,5,,180300,0,0,0,19775,27.1575,No
2,7476,A-1,6710-06-0708,,2,C,177200,8000,1045.8,1045.8,0,35-33A,6700-96-8759,A-10,,2,C,110400,11000,1056,1056,0,4.97869,No
5,7488,A-1,6701-58-3346,,6,C,801000,8000,1913,2724,98800,35-3A,6701-48-4303,A-10,,5,C,516500,11000,1913,2724,71000,123.856,Yes
2,7492,A-1,6701-62-3445,,6,,502000,0,0,0,71100,35-4,6701-64-8411,A-10,,6,,438000,0,0,0,71100,169.453,No
2,7499,A-1,6701-81-0405,,5,,200500,0,0,0,35300,35-46,6701-81-0405,A-10,,5,,200500,0,0,0,35200,92.6402,No
2,7509,A-1,6701-93-1978,,2,C,224100,8000,2152,2152,0,35-49D,6701-93-3997,A-10,,2,,23900,0,0,0,0,4.50025,No
2,7545,A-1,6711-35-6547,,2,C,159500,8000,1344,1344,0,35-54E,6711-35-9582,A-10,,2,C,155200,11000,1456,1456,0,5.8207,No
2,7573,A-1,6711-33-5801,,2,C,179200,8000,1188,1188,0,35-57SA,6711-33-2837,A-10,,2,C,158200,11000,1188,1188,0,11.0473,No
2,7623,A-1,6710-58-1190,,2,,35800,0,0,0,0,35A-1-E-13,6710-48-7254,A-10,,2,,4500,0,0,0,0,2.27874,No
2,7634,A-1,6710-47-6984,,2,,88800,0,0,0,0,35A-1-E-25,6710-48-1111,A-10,,2,,4500,0,0,0,0,12.7825,No
2,7748,A-1,6710-48-6935,,2,,4500,0,0,0,0,35A-2-H-12,6710-49-7174,A-10,,2,,4500,0,0,0,0,0.881525,No
2,7955,A-1,6721-00-9956,,2,,101500,0,0,0,0,36-35A,6721-11-1162,A-10,,2,C,232900,11000,1464,1464,0,13.0562,No
3,7965,A-1,6711-96-9764,,5,C,423300,8000,1165,2231,66950,36-3B,6711-96-6751,A-10,,2,C,363200,11000,1165,2231,0,33.5912,Yes
2,7968,A-1,6711-87-4570,,2,,122400,0,0,0,17775,36-3D-A,6711-87-7314,A-10,,2,C,449500,11000,2268,2268,57100,19.7808,No
2,7984,A-1,6711-77-7730,,2,,84800,0,0,0,0,36-3K,6711-68-9579,A-10,,5,C,301600,11000,1140,1500,0,37.8398,Yes
2,7993,A-1,6721-34-6808,,2,,125100,0,0,0,0,36-4-2,6721-34-6808,A-10,,2,B,378300,11000,1442,2537.2,0,12.3307,No
2,8001,A-1,6721-11-8403,,2,,108900,0,0,0,0,36-40A,6721-11-5384,A-10,,2,,67800,0,0,0,0,11.0845,No
3,8014,A-1,6721-21-8701,,2,,95000,0,0,0,0,36-46,6721-22-5061,A-10,,2,,99300,5000,0,0,0,22.5104,No
2,8019,A-1,6721-42-0781,,5,C,556500,8000,1934.5,1934.5,74150,36-53,6721-42-0781,A-10,,5,C,557600,11000,1934.5,1934.5,81200,77.077,No
2,8028,A-1,6721-45-6321,,5,C,443400,8000,1512,1512,69850,36-63,6721-45-6321,A-10,,2,C,301600,11000,1512,1512,0,59.0631,Yes
3,8054,A-1,6711-93-4901,,5,,121100,0,0,0,15600,36-6I,6711-84-9139,A-10,,2,,73500,0,0,0,0,47.2386,Yes
2,8062,A-1,6721-47-1972,,2,,56000,0,0,0,0,36-71B,6721-47-2952,A-10,,2,,47000,0,0,0,0,3.48925,No
2,8128,A-1,6721-53-9393,,2,C,147600,8000,1504,1504,0,36-95,6721-53-8374,A-10,,2,C,155200,11000,1504,1504,0,3.21758,No
2,8181,A-1,6731-55-8043,,2,,40600,8000,0,0,0,37-19G,6731-55-8147,A-10,,2,,48600,11000,0,0,0,2.67259,No
4,8214,A-1,6731-88-7248,,5,,367300,0,0,0,0,37-23C,6731-97-6531,A-10,,2,,69300,0,0,0,0,86.1553,Yes
3,8215,A-1,6731-99-2572,,5,,389200,0,0,0,0,37-23G,6741-08-2790,A-10,,2,,71200,0,0,0,0,119.016,Yes
2,8217,A-1,6731-94-0823,,2,C,165800,8000,1336,1336,0,37-24A,6731-94-1790,A-10,,2,C,180400,11000,1510.5,1510.5,0,4.07121,No
2,8302,R-5,6731-95-1076,,2,B,336200,8000,2462,3903.3,0,37-24B,6731-95-2011,A-10,,2,C,207700,11000,1336,1336,0,4.20909,No
2,8367,A-1,6741-13-1018,,2,,104900,0,0,0,12575,38-10A,6741-03-8213,A-10,,2,C,224200,11000,1104,2028,0,24.8398,No
2,8370,A-1,6741-31-0663,,2,,10500,0,0,0,0,38-13C,6741-21-9756,A-10,,2,,12000,0,0,0,0,6.86921,No
3,8383,A-1,6741-11-2071,,2,,86000,0,0,0,0,38-14H-A,6741-10-4701,A-10,,2,,56100,0,0,0,0,9.56107,No
2,8439,A-1,6741-31-0180,,2,,38500,0,0,0,0,38-14K,6741-30-0964,A-10,,2,C,166600,11000,1259,1259,0,9.00226,No
2,8440,A-1,6741-30-7773,,2,C,237200,8000,1696,2272,0,38-23,6741-30-9327,A-10,,2,C,272400,11000,1160,1856,0,11.3965,No
2,8467,A-1,6741-49-4661,,5,,125000,0,0,0,0,38-35,6741-49-4661,A-10,,2,,56000,0,0,0,0,26.7566,Yes
2,8472,A-1,6742-30-5444,,2,C,197500,8000,1094,2134,0,38-36,6742-30-5444,A-10,,5,,155900,0,0,0,10450,20.4726,Yes
2,8486,A-1,6742-60-6686,,5,,230000,0,0,0,0,26-56,6742-60-1623,A-10,,5,,191200,0,0,0,0,33.6723,No
3,8496,A-1,6741-99-1274,,5,,189000,0,0,0,0,38-47,6741-99-5603,A-10,,2,,36000,0,0,0,0,26.948,Yes
2,8497,A-1,6752-00-8280,,2,C,199400,6000,1966,2890,0,38-49,6752-10-3196,VC,,2,B,529700,9000,1966,2890,0,19.1382,No
81,8504,R-U,6751-19-1388,,5,,387500,0,0,0,0,38-50,6751-19-1314,R-U,RU/O,5,,244700,0,0,0,0,67.9774,No
3,8518,A-1,6751-26-1989,,5,C,526100,8000,1673,2658.8,110425,38-57,6751-16-9947,A-10,,5,C,500800,11000,1673,2658.8,0,45.399,No
2,8520,A-1,6741-17-8851,,5,,279900,0,0,0,22500,38-5A,6741-17-8851,A-10,,5,,324000,0,0,0,22500,58.9709,No
4,8579,A-1,6741-26-1801,,5,A,706000,8000,2194,3573.3,0,38-7A,6741-16-8701,A-10,,,,0,0,0,0,0,50.2915,Yes
2,8803,R-2,6750-39-2845,,2,C,279000,8000,2156,2156,0,38B-3-7,6751-30-2056,R-2,,2,B,319700,11000,1188,2400,0,5.8827,No
2,8885,R-2,6740-19-8922,,2,C,243700,8000,978,2349.4,0,38C-5-1,6741-20-7057,R-2,,2,C,275400,11000,1296,2014,0,3.98699,No
2,8910,R-2,6740-19-6338,,2,C,255100,8000,1344,2380,0,38C-7-55,6740-19-5177,R-2,,2,C,338600,11000,1488,2524,0,5.41667,No
2,9162,A-1,6761-01-7558,,5,C,450000,8000,1221,1221,70075,39-1-6A,6751-92-5028,A-10,,2,,67000,0,0,0,0,33.8218,Yes
2,9167,A-1,6751-90-8672,,2,C,213400,8000,1444,1444,58100,39-1-9,6751-90-4544,A-10,,2,C,196600,11000,1444,1444,0,11.4384,No
3,9219,A-1,6751-28-7169,,5,B,430200,8000,2624,2624,62450,39-2A,6751-37-0904,A-10,,2,C,467500,11000,2624,2624,0,22.0827,Yes
6,9305,A-1,6751-71-4372,,6,C,773800,8000,1178,1620,109400,39-47,6751-61-9249,A-10,,5,C,290500,11000,1178,1620,120150,139.948,Yes
9,9326,A-1,6750-87-3962,,5,,469400,0,0,0,39200,39-50T,6750-89-6323,A-10,,2,B,198400,11000,1400,2800,0,86.5463,Yes
2,9410,A-1,6751-99-9535,,2,C,116000,8000,1152,1152,57100,39-63A,6751-99-9535,A-10,A-10,2,,110800,11000,0,0,9900,9.00517,No
2,9424,A-1,6751-37-2557,,2,D,188900,8000,1300,2732,0,39-7,6751-37-3698,A-10,,2,C,463300,11000,2756,2756,0,9.23815,No
2,9479,A-1,6751-34-0668,,5,C,424300,8000,1140,1620,79100,39-9,6751-34-0668,A-10,,5,,334900,0,0,0,25650,55.8061,No
2,9678,R-C,6761-28-9621,,2,C,173400,8000,1236,1236,0,39-109,6761-29-3067,R-2,R-2,2,C,201000,11000,1307,1307,0,5.13999,No
2,9725,A-1,6705-65-1347,,2,C,270300,16000,1020,1020,89075,10-Apr,6705-64-3947,A-10,,2,C,216700,11000,1020,1020,53625,18.1677,No
2,9751,A-1,6705-82-3533,,5,,269400,0,0,0,24500,23-Apr,6705-92-1237,A-10,,5,C,429400,11000,2495,2495,129400,63.5399,No
3,9808,A-1,6705-66-5879,,5,,205400,0,0,0,0,4-4H-A,6705-66-7628,A-10,,2,,75500,0,0,0,0,30.5602,Yes
2,9814,A-1,6705-75-5593,,5,C,289500,8000,1568,1568,52650,4-5B,6705-75-3495,A-10,,2,C,204600,11000,1568,1568,0,22.2546,Yes
3,9851,A-1,6715-52-0267,,2,D,68700,8000,780,780,0,4-74A,6715-42-5464,A-10,,2,D,55000,11000,910,910,0,9.87381,No
2,9876,A-1,6761-77-3074,RC,5,,557200,0,0,0,0,40-11,6761-77-0051,A-10,A-10,5,C,513500,11000,2147,2147,82300,35.0664,No
2,9897,A-1,6761-85-4108,,2,C,93500,8000,960,960,0,40-17,6761-85-2201,A-10,,2,C,232700,11000,1472,1472,0,0.81796,No
3,9898,R-C,6761-78-8405,RC,2,C,182000,0,1350,1350,0,40-2,6761-78-5306,A-10,A-10,2,C,184300,11000,1350,1350,0,9.77195,No
4,9934,A-1,6760-89-9614,,5,C,453900,8000,1990,1990,71900,40-30A,6761-80-0100,A-10,,5,C,264000,11000,1990,1990,84900,39.0386,No
2,9954,A-1,--,,5,,247400,0,0,0,0,40-32,6761-92-2032,A-10,,2,C,447600,11000,3115,4339,0,41.3898,Yes
2,10056,R-C,6771-36-5783,RC,2,C,275600,0,1008,1512,0,40-58B,6771-36-7505,A-10,A-10,2,C,252600,11000,1568,1568,0,5.71107,No
3,10062,R-C,6761-49-7347,,4,,322900,0,0,0,0,40-6-1A1,6761-49-5449,CC,CC,4,,372100,0,0,0,0,4.44792,No
3,10102,A-1,6771-24-7663,,5,,349700,0,0,0,29400,40-67,6771-24-3834,A-10,,5,,281100,0,0,0,23500,67.5103,No
2,10134,A-1,6771-54-1463,,2,C,213600,8000,2214,2214,0,40-71A,6771-54-1463,A-10,,2,C,266600,11000,2214,2214,0,2.02885,No
3,10138,R-C,6771-55-4139,RC,2,C,377700,0,1516,1516,0,40-72,6771-55-4371,A-10,A-10,2,C,237200,11000,1516,1516,0,7.44838,No
2,10143,A-1,6771-54-5639,,2,,73300,0,0,0,0,40-74,6771-54-3478,A-10,,2,C,217800,11000,2072,2072,0,4.49928,No
2,10144,A-1,6771-54-5334,,2,C,145600,8000,1936,1936,0,40-74C,6771-54-5794,A-10,,2,C,315800,11000,1964,2216,0,2.50344,No
2,10145,A-1,6771-64-1492,,2,C,274100,8000,2488,2488,0,40-75,6771-64-3521,A-10,,2,C,350000,11000,2488,2488,0,6.87018,No
2,10248,R-U,6771-39-0515,,2,C,141800,8000,1419,1419,0,40A-2-A-D1,6771-39-0464,R-U,,2,D,150000,11000,1419,1419,0,5.18184,No
2,10360,R-C,6771-85-2267,RC,4,B,1560000,0,0,12558,0,41-12,6771-85-2147,CC,CC,4,B,1758600,0,0,11121,0,7.92794,No
2,10369,A-1,6771-74-5001,,2,C,287300,8000,1635,1635,56875,41-17A,6771-74-5001,A-10,A-10,2,C,302600,11000,1635,1635,0,9.32233,No
2,10374,A-1,6771-82-6573,,5,,506700,0,0,0,0,41-19B,6771-83-6329,A-10,A/CC,5,,458900,0,0,0,0,65.177,No
2,10375,C,6771-84-7572,RC,4,,188600,0,0,0,0,41-19C,6771-84-4536,CC,RC,4,B,449400,0,0,1632.5,0,1.27261,No
4,10414,A-1,6770-99-5842,,5,,280800,0,0,0,18050,41-32F,6770-99-8683,A-10,,2,,120900,0,0,0,9050,38.6827,Yes
4,10429,R-C,6771-74-3584,RC,4,,886400,0,0,0,0,41-4-1B,6771-74-5626,A-10,A-10,2,,106600,0,0,0,0,7.0665,Yes
4,10452,A-1,6781-55-9599,,6,D,1898700,16000,1320,2112,208200,41-104A,6781-56-5130,A-10,,2,,364800,0,0,0,0,357.625,Yes
4,10469,R-C,6781-03-0851,RC,2,B,722300,0,0,10412,0,41-51,6781-03-1713,CC,RC,4,B,353400,11000,0,10814,0,4.46267,Yes
2,10511,A-1,6781-05-3106,,2,C,205900,8000,1200,1392,0,41-6E,6781-05-2047,A-10,,2,C,219200,11000,1200,1392,0,3.40314,No
19,10536,R-U,6780-89-2563,,6,,1533800,0,0,0,0,41-78,6780-78-6115,R-U,,6,,902500,0,0,0,0,204.114,No
2,10542,A-1,6781-60-0388,,2,C,260300,8000,1343,2069,51650,41-81B,6781-60-1789,A-10,,2,C,339100,11000,1343,2391,69650,8.78168,No
2,10553,A-1,6781-71-0346,RC,2,,384000,0,0,0,0,41-82A,6781-61-9587,A-10,A-10,2,,95000,0,0,0,0,9.45544,No
